,price
7401,605
344,1303
105393,2125
156563,1641
98461,3316
189997,4918
89255,5509
129378,827
100643,16786
141345,891
193050,421
46685,2680
48288,3108
8465,5817
115839,3933
84831,5723
81071,1263
66921,2508
46912,15038
43345,3160
31389,4401
133233,539
104125,626
39145,16582
126318,5200
117062,9050
128871,1914
165182,2686
117565,429
130983,453
114497,745
48690,2804
134933,774
25161,956
55647,1294
97437,2606
43678,8100
102513,6416
7457,3573
151361,2753
101285,4496
62866,1035
189968,5786
11295,1197
163490,16492
85177,3246
108690,2458
29372,927
187064,4491
98754,817
28738,7283
24244,1787
80967,2959
25568,1856
45259,478
5272,2588
33806,367
168951,664
143192,628
3279,863
18686,814
44675,373
181928,8818
173358,5584
151375,579
83851,5851
94251,4955
99641,10835
130554,544
72310,10666
38453,10396
174303,776
154839,1307
172360,1279
190143,613
177071,765
149009,3772
70144,504
15938,3199
122113,6653
94864,984
10023,1030
33108,3377
107365,683
164580,2821
22950,438
79300,2105
79237,4909
28221,590
19624,6530
188773,802
103582,1985
3757,518
38146,1806
80086,12642
15028,4912
124636,630
150196,10316
179832,727
123247,1838
71226,4442
15137,830
149322,1569
114658,2907
126632,743
34029,5522
27130,447
144869,984
176273,10990
65104,1881
64711,3183
147029,928
130161,2562
165757,5556
172915,14775
43076,1689
191318,3216
166344,1025
98476,1619
185729,7209
1664,4021
176656,4666
36536,1754
136818,2001
159478,3139
42856,3336
87039,3033
131894,393
165890,1611
181854,7415
91717,13823
72280,12502
187951,1146
23154,5174
126611,1257
28438,1406
115079,9146
75748,1357
90056,6164
175574,12304
155422,1274
80417,3701
185554,1046
12962,1079
10587,2765
128234,772
68881,8656
142523,478
45381,665
54816,4381
36067,9139
80584,2398
116275,11868
125365,14900
109983,1841
147747,7836
86751,627
53892,789
76563,2006
159618,3454
55169,3182
15440,884
45919,11848
186393,968
147086,18128
35131,421
149889,706
22933,8220
82736,865
128724,1963
121801,7310
808,968
6987,4060
80617,926
58967,1336
45133,2290
112584,5197
18917,1601
187656,2507
82149,14017
4686,4116
114544,421
152870,2198
56397,5690
122875,12622
181358,802
114750,3462
29881,2696
139413,1079
61198,724
168591,5408
105674,6629
155526,1062
193491,4904
158568,7532
122745,421
119651,854
21052,6794
122437,639
30008,1192
73764,6962
188622,1819
188261,3655
113188,3357
158917,1068
99431,3036
51841,1078
67590,394
16027,698
100911,9677
157546,6181
88275,8112
179927,7213
65237,583
191418,9897
30695,15312
104,11531
87634,2260
82954,4414
184829,5313
50879,10036
48660,12681
140336,4781
8235,9974
94195,1123
945,990
89093,17658
58698,784
19534,7448
43633,2440
87203,8365
53699,367
138096,3701
156179,552
146687,773
69624,10800
191899,552
103983,3137
75283,8870
16481,2975
54355,1004
49250,5154
85045,11922
67855,4214
92369,582
131577,17688
48751,7691
139113,5786
28747,3224
127864,487
121408,5706
111881,772
119757,2164
127833,4918
20516,1637
169761,10138
190485,1787
21581,1402
81587,2387
138931,7955
142337,1723
36265,698
108081,8223
144102,2071
20866,6659
181673,3828
7737,402
105512,906
23442,8163
17179,4187
108562,9900
172503,579
83709,3288
30037,14483
114071,2705
114950,2829
64992,1240
32518,4034
113718,810
5747,8319
139576,2964
142885,14165
43506,2307
23453,9060
471,5938
69883,1786
115970,1629
67749,1239
192044,673
81646,596
156704,2513
141369,1896
71178,10439
141947,7943
58343,956
36246,1291
179318,1013
170214,3531
142805,9729
66369,2298
134326,616
182246,6695
75402,11127
167373,842
67836,844
169525,15708
18038,3151
109117,2592
81858,4855
113105,4630
156805,1097
116994,981
9934,3615
82612,3126
82177,1922
68732,1268
11943,4437
148832,4675
178353,9642
152009,13325
172314,4149
134391,422
71912,6939
185041,8131
108828,1574
129971,5822
125452,5304
72286,2670
133013,12641
89667,932
145116,742
29296,12944
6316,3615
134314,1033
13648,707
10804,1695
8276,491
51910,4399
55558,951
114699,4988
102199,3685
44244,1067
165451,6425
70771,7766
25139,8828
110718,731
107742,4379
140578,5164
107081,17403
187846,3193
73375,3121
52873,1445
126430,4578
94042,3563
6809,491
8586,625
181587,3643
21427,1066
173833,8617
50644,1776
175198,7089
16648,5851
117799,4128
109635,816
135240,576
83175,2277
46455,912
167618,704
78803,1917
72897,590
134017,612
41187,10682
676,3145
143379,2564
187950,1354
38440,2564
115710,7481
176017,1426
193091,1843
32724,827
156746,953
97896,425
118902,9561
97063,1129
104589,4381
50243,6593
63347,10351
30221,8081
73371,3238
47041,1874
122312,578
128541,1397
93698,394
37079,3874
5144,12061
143869,4113
3546,4685
175282,1155
96929,1323
51587,16273
43818,1884
191403,3102
53393,2528
77193,14294
97466,7276
62192,1836
164871,802
123501,709
26317,12490
136927,6098
187162,5315
78805,15649
142748,1882
44192,2369
61478,11175
115247,2646
36318,2430
101233,477
152052,9310
175763,5800
74287,485
85136,5335
135932,4328
145461,5351
121901,1218
71198,4486
54125,7357
110877,4153
128647,4503
104865,3763
8731,1196
43108,14507
118598,6073
157884,2302
67972,1621
121632,2018
88039,358
187849,786
143208,14663
56147,907
20142,7554
163476,2214
71058,1838
133213,7980
15314,11322
35519,2468
65513,6781
138004,17893
151205,12674
119114,11818
20603,675
41574,1398
84385,914
55833,1844
32591,1410
125364,1441
77549,7961
156620,3298
147758,662
129743,576
26412,1637
47211,755
155076,17634
42754,11531
8935,742
138062,4666
131524,605
183899,625
26398,999
103695,2961
36005,10959
177519,4666
138870,1882
154236,607
105198,438
138510,4678
26711,767
74079,2147
77429,2139
75519,829
150832,17172
115327,12409
119749,4378
179197,6389
76745,574
30159,6268
141651,6296
50659,798
41166,2003
90154,1980
72443,2238
49692,8874
134541,1095
51228,814
109358,681
163294,885
24746,1662
23342,3750
108166,720
63272,1944
49900,6040
83019,5458
164966,6077
191016,18552
87589,878
22782,1376
66095,4382
186613,571
90903,6224
20713,1107
174110,12587
58142,4278
147651,984
3106,2577
107513,789
105673,6091
26794,2394
179223,504
131834,1435
147677,700
129929,1080
188703,2818
47633,722
162849,4242
154254,3193
137140,1184
56961,852
94656,2685
178427,2723
162817,851
134388,1155
18404,10090
192773,3791
99792,4586
63736,2060
17677,2656
186449,7256
96477,3838
66114,2513
30721,967
95060,1851
68564,2607
100938,8674
3253,4791
135674,2975
122028,10342
26022,526
64511,1676
103843,544
157170,886
54958,7219
168677,2192
93239,1125
110459,876
112980,706
7138,6738
19146,828
4684,6271
159231,1675
128511,689
16485,710
158373,1166
777,686
178339,15444
49380,16992
62561,8004
6175,589
166365,4253
65348,3348
141715,6278
75029,7154
157169,540
130422,432
178164,871
188248,2962
36393,10567
108867,850
174142,625
179598,2147
142042,1076
181228,2218
21817,4715
120429,913
171888,4372
54864,576
34816,7697
7522,830
71615,884
10970,1073
115682,906
102919,6342
82456,1682
125768,755
30909,17114
65650,7272
54406,1604
177387,1422
132370,3890
55858,900
190308,3472
9667,3057
168190,14430
70399,625
145545,3343
87997,1154
60803,945
186229,7774
170579,5612
112240,645
165273,645
6786,1924
63591,1698
123102,1764
30817,3734
109900,4704
56372,2296
135874,5364
113489,2791
53049,18709
175157,746
142333,4670
168557,6286
152530,4032
88606,9298
18515,4984
25092,1036
10773,2812
188592,1295
188826,5305
165247,562
114855,5748
116917,3730
61206,518
189235,3669
55563,1662
122017,2867
151612,12655
48565,5749
169408,1191
116268,534
154282,1243
164675,1145
37993,533
100624,1819
26120,3785
169513,755
101212,1431
39026,1226
22128,568
74472,3300
8454,2250
38096,507
171978,4977
74260,6828
96798,2141
16474,1921
181307,13109
84645,1875
157784,1000
99139,5935
40947,11716
56443,1065
26115,3397
188567,7277
40015,713
102482,3296
75026,1247
164059,805
170194,1202
45129,5546
58522,18172
118483,9347
161277,445
175621,864
17606,10333
11614,3925
176010,561
71025,626
184542,508
63971,2421
40500,3782
60097,689
179211,7553
99396,7193
29031,583
192154,11272
27274,5600
21244,863
113449,1910
22920,2137
83201,2401
21353,17451
101007,5412
13964,1332
175524,1125
178814,1207
47556,1389
89559,5268
15914,5055
91043,11364
151185,4739
162265,9562
118199,6299
49972,2470
33030,2721
19592,8809
55420,1013
153839,10338
157892,3511
99960,2196
191093,700
143278,4276
191460,4858
130031,983
176602,7332
63259,2753
135354,6492
152580,1264
133440,1201
72818,4158
148719,816
709,5141
4881,1093
77855,6606
21449,14068
188635,2270
7196,561
82539,1605
177928,2516
164182,1998
104020,936
20245,1421
19506,2266
88173,2143
3808,1050
37567,1068
146137,1548
152087,1853
21896,11113
127372,3528
159552,3694
49809,4197
87970,766
164646,1936
139440,4566
91760,659
277,3656
94235,2790
173041,5430
3301,4811
143851,11748
165929,4463
12681,605
141145,9618
38023,18480
152885,6183
67718,2351
123740,5967
30474,844
49523,8537
60229,18275
69179,504
32186,6606
59360,15934
91781,648
89733,1121
88030,810
74005,759
178522,4073
192176,7632
110991,5690
11700,17856
109141,1760
34945,855
58722,14799
108457,17608
6707,6809
103886,658
148948,2683
63680,926
114285,844
119427,445
79616,1654
24893,781
178820,965
58398,789
106682,1594
173307,1436
88416,571
107489,7862
26162,1115
136029,2341
57416,11415
86494,6476
2516,5347
68816,1657
90746,605
75551,4028
45882,485
177599,789
131500,936
37308,680
16083,1069
88530,789
190049,4666
82211,18374
36982,17213
18067,5395
22006,326
166016,1752
104825,6676
149785,1412
17018,2028
186707,641
130307,10577
116290,2219
144142,911
173213,18705
2620,854
83436,14646
1228,10065
128995,958
125648,2006
32094,4751
160653,17776
155573,4558
78915,4078
72842,13873
70230,2744
874,3697
35471,491
171967,709
77904,2974
143576,658
15757,878
137579,4869
10263,3063
69607,16817
109797,6586
22367,13912
8823,2840
46863,3407
99234,6085
109347,521
39965,6529
184834,2224
36185,12394
47164,4190
61003,17358
95682,6494
171241,1908
46571,1964
164548,3294
124517,3156
8830,3852
50221,1774
165221,943
80429,7179
143757,12156
134905,2834
20413,665
125079,4887
13911,698
178318,2512
153991,576
124408,1695
177807,2652
63257,3668
47085,2473
134715,3856
188990,7293
133216,1071
188576,2069
86537,1169
35810,597
32659,3799
179668,732
16470,4177
68433,8064
5546,784
184477,5580
127323,530
125181,2868
169544,4199
77070,6582
190106,8372
28464,4323
178017,1223
98544,9296
107306,974
120485,876
83999,605
123040,1124
113965,1013
142986,13512
190579,17297
78874,723
99544,2921
171109,2404
171889,5649
153569,2889
119819,1072
126836,1777
89741,1063
742,1249
63343,1990
137059,698
184532,957
96531,2636
121595,3378
26533,3324
153809,1689
173461,2290
42682,2054
89073,571
101149,523
138005,8107
192833,5652
146012,2896
167800,431
157649,4044
97608,1944
50742,4094
64290,3010
81621,14692
6890,9498
20797,1076
6497,1098
14815,5100
171957,914
93720,3662
172096,1774
96456,802
5046,698
32725,5416
100529,8941
33006,1676
45368,1267
151216,2240
1926,5093
15687,4661
113016,5316
76041,5976
35429,641
90580,675
91590,1012
12256,878
87176,638
85363,7126
10402,3420
146795,1872
178176,536
27106,11322
128822,526
96578,1125
16928,1546
61853,1269
10490,8791
174038,1699
9829,2018
131882,4244
52990,9694
3499,1125
104189,10065
21669,915
127054,4751
137960,13846
10117,1838
46155,15706
191998,8771
138035,769
53846,626
134576,3581
118575,2210
123766,1580
63844,1036
52987,3114
118223,4381
174178,2319
56399,2720
89163,1327
98627,2395
142440,3892
59804,5356
141243,3478
93660,1857
24999,537
32933,12655
190423,3801
49503,3175
32497,753
62827,2607
99570,4032
123658,628
59764,4793
9544,3780
58630,593
13190,2165
97709,2287
76273,1040
70632,1331
6830,5410
144724,5460
36882,789
170217,16339
37248,3353
87100,3502
152312,427
158255,891
149445,492
41173,4488
9996,12787
135498,5278
36334,2056
104629,2945
178853,478
156929,2837
126971,969
180865,1710
107047,665
177930,2345
186157,533
34271,7098
41147,421
133518,5430
84574,4238
162595,11688
58710,15134
74306,1680
31156,1263
10496,3195
114354,3528
52573,943
169202,6522
56743,2542
162645,1736
90281,9235
38932,8421
161606,9729
33258,1016
134488,1020
108130,6235
102500,3416
189243,3612
55972,4365
113842,4185
74407,2330
153019,6221
102043,6098
106633,684
175444,2064
84867,928
182576,1179
98750,3308
125382,2302
105204,2100
39634,2693
33293,4468
28021,11764
149610,2854
131390,3296
174941,4269
146381,2207
159642,854
151963,737
164415,505
149648,792
180959,847
10469,5100
84589,1879
167822,1113
74762,5367
53309,8022
108769,2956
116126,13134
37628,887
87379,3422
23603,7388
89120,1565
28158,592
41309,5769
66067,4969
128532,533
99391,2641
150719,7277
16270,1957
34206,1881
189072,577
117968,4462
75874,593
163015,5670
124376,4338
161814,876
24872,8977
171135,1764
77144,613
1647,866
123043,961
170248,11455
135491,880
138226,1362
5280,7660
142120,2902
135301,9253
7570,4293
73987,4916
103327,1847
177066,2897
81707,491
181245,784
178990,1227
44971,492
38525,3160
155821,666
109104,681
14226,5083
167595,1989
186011,4478
99725,9572
121974,561
78654,1112
61148,1367
188162,4273
157688,4271
156854,668
162492,3333
62297,2370
159153,4690
158410,2300
180428,8415
7861,1699
147404,9934
77847,1207
147212,2657
127489,1004
41809,1181
92486,13771
17663,2644
103289,7415
142659,878
167143,776
67146,5602
108253,1998
170359,1752
47973,6666
102383,5376
192315,11965
97891,17214
40004,552
52094,4137
6627,6213
44465,11848
64564,3864
5985,2352
86957,2239
61721,4798
67871,1980
163699,1726
158765,8446
14000,1911
20626,434
120780,2917
113601,10419
62964,4314
190018,4277
104709,9659
84347,4745
103888,1621
152565,620
126716,6549
97381,1439
86103,6208
8264,540
189825,990
107895,14766
80365,10099
3598,7835
130818,587
58584,947
19997,6473
1249,1622
84423,1819
94216,2634
124414,1125
174174,552
44539,1838
18555,15762
93519,1641
90803,1421
135525,971
75734,2475
77858,3390
46319,452
34403,6350
81903,1292
190044,1806
188447,4566
139404,1324
56457,773
21114,766
160468,566
23864,1154
163237,9660
77728,4234
47586,16779
150901,9199
183620,5063
145956,14383
83676,13986
142894,17476
11192,2797
115356,4821
62067,6856
145103,4284
137497,15662
42881,7357
4784,6534
63831,2085
77170,2319
35748,5805
95509,2485
120775,8929
184735,1574
180327,625
157076,2019
193390,6350
120781,1815
31352,663
164003,15851
12396,3250
32303,1268
151115,6612
50561,11312
170437,7134
17566,4058
180833,10115
18893,2800
116769,761
182033,926
54347,17265
103321,7415
32343,14579
35417,2670
126620,3516
159247,2553
88669,3376
136161,1295
96293,371
177320,767
128427,2757
171006,2200
92092,2167
156008,544
192655,375
112969,13503
157522,683
89200,838
8757,12899
144631,1592
103517,3338
92233,4158
77014,7197
23272,2341
20027,5405
50193,1153
77327,4532
152619,5171
183128,645
6293,4416
153071,779
29571,972
113078,7573
47400,434
41808,10372
118253,2016
20970,10023
178235,4733
75238,2006
162910,1883
123522,720
43120,698
143222,1343
62961,583
144968,1592
46419,547
143754,1748
12250,628
155219,8442
170942,2459
56085,5748
105637,3587
95518,2644
81752,2230
69610,4537
136673,3338
89082,7430
71885,17607
55762,4642
143967,18107
136381,4559
152315,5400
166179,864
14428,11189
112342,7727
174768,950
46495,2092
133793,1286
64455,1280
165214,15330
174007,1040
94740,647
147983,1212
59588,1080
7580,3149
85466,2923
29161,1445
36100,5387
51230,4067
33263,6340
76075,2790
141274,2234
64679,4218
1451,2321
177999,7126
35959,3886
4593,14844
189090,854
146744,16300
132399,2993
108843,13171
174375,1677
44002,10339
76553,2266
63441,756
120480,485
51495,10887
111236,472
100662,10769
90188,1117
96862,840
10779,10321
142115,956
177243,1044
101138,1080
188349,963
79490,12951
12422,4379
32782,3671
161075,4580
32981,4113
28073,1110
146861,1238
30957,542
11856,1046
33804,2100
184479,521
109659,586
96684,597
102855,1605
24312,6974
127279,504
150071,6337
163463,6661
91014,680
96586,5683
118355,8167
138060,4159
107323,4355
41615,2109
6648,3674
83102,5455
181688,5143
133046,1125
43828,770
168109,2085
112931,1752
119790,841
98779,6809
33143,1635
6311,7948
188566,3780
64663,694
92878,7989
138295,4704
19349,2184
188355,605
164790,9624
152116,15426
110964,1662
74333,2135
174259,698
134587,653
43180,1363
146722,9568
17779,4851
32662,1665
63125,11251
119255,1406
174558,4355
148847,2268
191555,1094
131474,893
174455,1203
173892,956
170143,1097
49560,676
178903,1349
41973,1131
155640,1607
192032,1671
12334,17955
85748,787
3587,6052
5325,2155
86077,1723
166308,9208
45717,9571
54054,5055
73211,5644
143951,3330
190144,3008
146879,2968
142745,2109
115852,5947
99929,6045
36084,8770
66496,9870
20555,755
88001,2470
84936,1911
74775,878
89720,675
316,2596
83037,2351
48522,4593
138688,7345
116997,9274
87821,2553
110604,572
131679,1670
154639,6787
145520,8163
92598,2001
76278,454
5477,16779
25980,4873
60426,734
55257,5210
160001,1605
46724,2100
53238,802
36494,1732
61784,669
74177,717
9162,15695
87786,11628
88350,486
30332,13884
173235,918
150403,4617
120757,1564
192212,1043
119836,1564
180893,12320
154437,489
36933,4721
123194,2480
7798,2202
10889,641
161243,612
79705,7404
131331,2192
164338,15907
74013,4389
22719,3285
165700,2515
126747,738
122999,4657
31759,2515
36049,17949
73468,5783
67711,575
37564,2049
7646,18166
23697,10861
60224,4304
140447,700
34172,11976
27105,734
187643,781
153983,4955
54706,1388
65313,468
126353,1027
51676,1438
154674,2106
103195,4786
1946,689
190683,899
120272,4042
68317,587
156235,2429
168572,563
120254,5476
8490,838
164746,2269
176562,705
2275,1177
142763,1746
103072,7137
64292,8223
70164,3322
146590,2842
37428,3030
140579,798
163382,477
91576,5167
38844,1397
25441,15788
122828,11263
144987,1949
152071,658
78561,1662
125831,2029
109238,593
20508,2421
53036,1061
140286,7634
154292,6956
29490,5817
47557,7421
184251,6931
137999,1550
136271,3162
90090,901
64272,2264
27147,756
116039,2881
85996,478
21973,12871
52302,2550
37023,1282
162045,1227
83319,411
70999,864
77617,1040
12526,833
105030,2676
36336,3378
42243,4389
189171,9580
89223,1333
142562,15959
13239,5521
134347,2777
32463,911
89961,1014
100603,648
71298,1030
29923,5292
181104,6776
28425,3774
16100,2594
164290,6546
170578,1013
151862,4619
185227,472
177206,3975
73712,1027
33015,6534
61251,10078
102883,586
49088,2059
185187,492
107874,7664
109738,505
108956,15318
84804,900
68837,2570
63127,1237
73016,447
80935,2574
92838,12799
87343,6159
140589,3740
70123,14111
50114,581
62202,825
27568,9526
165300,5204
115728,3655
45751,707
52293,3462
38341,8449
35714,6692
95282,4233
42976,4878
160166,4559
94158,818
24770,745
92637,807
40493,2961
57546,2996
139534,506
88288,571
20292,12409
44981,3140
164560,657
105810,477
167411,2952
122936,6763
2404,942
165149,4201
140268,10669
159784,439
50783,1043
146221,14709
108120,848
65329,9457
3144,2415
187439,6166
49893,3195
159019,2349
69949,5946
45671,4368
115977,1559
159712,10588
6815,1828
180532,844
178679,2158
143215,3502
128994,12812
95730,9132
156121,1319
110582,802
54811,1568
32576,3180
69897,4805
76320,939
50077,2307
155611,9343
77738,4975
55526,6900
76060,5743
59455,3217
116669,8288
73833,1187
51792,4604
81005,14372
135388,863
38573,963
66550,605
75218,1668
12672,876
43873,526
101641,854
11360,1311
74998,3931
82204,8733
30896,12154
164821,3011
36316,4281
164949,9471
67895,1397
99958,3412
31691,8855
107147,2839
17624,8712
183699,2351
9393,720
55939,1847
67179,459
152851,744
62748,893
40932,911
73858,17220
188716,4118
38722,1448
105760,1963
106959,1079
44794,6098
146174,4538
39118,6856
3705,5612
49680,12831
116065,626
68440,9815
138249,4949
85906,828
161611,1052
38672,17996
53128,4474
73896,765
29727,11284
178548,544
119112,12342
78683,1772
60249,532
112852,1637
2178,394
54252,1955
66464,1355
2543,723
60351,5140
180210,3377
164297,6255
138317,1289
34806,3163
15826,1330
33630,8430
17770,574
118837,2863
55454,11459
23837,16733
139398,766
105201,756
188334,833
94104,12971
160541,2963
143685,6600
192563,4767
122059,6738
165425,1321
88137,3199
13744,12787
39025,5786
86193,3731
54317,1831
161070,1410
76978,1257
40997,2863
33259,3416
184037,1834
112810,982
26324,1422
83084,1058
186575,791
58360,2516
178972,698
2711,5177
9095,10850
134991,3228
86917,511
81807,4242
116574,1257
67389,644
20054,2364
148698,530
163701,4718
103564,3823
91421,2399
125428,575
113222,4284
163953,734
36016,3991
37051,5412
70149,3639
48083,3920
174219,969
143773,4989
164076,7362
107479,17051
95603,1699
101220,911
114106,2188
72057,1691
181840,2642
131014,7226
175531,10479
103599,943
37730,705
70816,2228
119300,705
68057,3624
2506,1607
52736,1003
114834,5032
186411,678
39752,648
55657,4284
170793,7485
2424,1407
156425,790
59515,3201
9149,6732
94576,18028
40904,453
162575,7588
40116,961
77918,771
173840,4355
40001,814
65541,844
45556,8617
166075,2960
73475,723
159802,668
191005,2326
64097,1053
153459,1111
58573,2444
90543,1687
137974,1892
39627,604
173096,11946
69630,3080
61355,1263
172036,9471
46502,4318
154073,596
90661,16092
746,2596
137001,1013
107274,550
7926,720
122469,849
6229,827
142737,5364
124943,2960
12031,4218
33066,12100
75009,9171
63480,4739
108247,2352
153827,1666
20906,9479
65574,2255
14521,562
98932,6449
55222,1401
7129,1581
119331,1162
92156,3845
16525,11519
102374,8452
52895,7810
54993,4503
56656,3300
8110,698
165321,3751
39349,461
89685,2246
15011,886
149447,394
88227,780
116735,1807
85100,8314
21857,10412
173564,4829
41719,868
76674,4274
138418,713
124284,2401
32551,11195
151348,1769
24155,1578
186417,7560
79957,2215
27583,3825
20246,2803
2527,9005
146176,3494
62966,675
166920,1141
121794,12743
180008,16793
185804,467
156115,2328
24766,2487
69710,4704
88086,415
10847,6503
97549,5390
26594,3292
61195,4480
8909,1040
160553,3903
69731,811
38721,1064
20942,3398
104070,9120
1665,16985
154274,945
174319,555
67771,1404
13121,1157
112287,4252
36438,956
162110,589
192093,12644
111078,7893
23075,544
58841,3303
98187,2113
137440,737
187419,597
129921,2958
115761,18701
54299,6223
154566,533
107765,1390
100967,675
171690,992
132786,6600
184605,2973
7891,802
73098,1016
158617,603
163810,2389
43947,2885
129341,636
140068,1684
89486,574
4669,5226
40959,907
124730,936
32473,2203
92046,741
20483,805
102642,4391
2671,1279
125904,776
34570,3682
6593,10009
96658,4903
82749,1087
47605,706
107366,7948
17827,5190
11470,6360
127209,4395
100203,631
171968,9199
124712,1068
96685,1575
7124,538
54776,1950
97120,1327
47681,5633
36176,2772
75405,646
5522,5775
74706,1656
102838,10129
172742,4469
130671,3382
83711,2797
169201,1691
27212,4239
132778,3113
24350,2822
40825,15450
190526,729
21789,648
75838,882
49720,9254
187074,4956
117148,5250
62541,10805
22287,1906
80742,2745
47464,1814
49709,886
101782,7906
9072,6912
55678,807
114925,1295
71351,2313
58034,6195
156132,552
150825,2218
96808,2534
68214,2385
174401,3750
16554,1863
171417,2282
1673,4283
149454,1265
60786,13714
45573,720
60330,753
44485,1743
39357,4719
80375,4355
106621,2240
167840,4553
143515,1942
5941,6971
160599,5042
70573,2893
114787,2215
193520,6618
11150,765
191059,597
40137,421
97226,863
105403,995
140315,5099
43505,8969
175802,14691
165103,9853
93197,6762
63075,2138
51744,1621
125028,7207
146489,2068
118941,1312
8213,544
46238,491
188503,5345
12664,1187
25815,878
184203,7888
178329,849
10639,1243
61919,1008
107627,6195
63068,5701
123604,709
31638,5701
77839,5292
106048,4552
141070,4144
116925,899
113896,7109
51770,12992
7883,1857
47294,1764
119889,2879
93150,948
171835,4025
180839,4210
186986,3832
3278,857
149672,3000
139540,8081
171039,6499
119549,5182
4641,12499
145020,880
131670,6777
154847,11379
177986,391
131502,2148
182229,1369
71218,1753
55768,1701
81012,1415
22336,9810
124084,605
102852,579
118838,13503
92984,1046
13227,1804
4178,4816
72277,12200
186479,3783
25589,791
92660,1315
133579,6238
84485,9235
186629,3780
145029,5600
113186,1284
63931,1273
149081,521
14338,6762
174961,1095
54762,7722
110255,8712
54065,3752
156134,764
87103,3751
184589,872
129920,1569
22378,2964
85838,1355
8128,18037
64007,1091
35356,877
48050,561
117584,4560
116376,475
93822,1295
98833,2824
56846,9081
162044,1818
46583,1255
33601,5824
27873,2996
19047,709
176467,2598
18623,4038
114357,958
178069,7810
129696,5072
152700,1727
191202,877
132066,635
94166,7864
24944,10082
80013,2751
50090,3322
111285,11748
174122,1061
120966,906
133359,1229
189753,10851
118702,828
87470,2942
122752,1066
187343,900
11406,14863
71680,486
4475,648
42740,972
165326,990
104210,506
66030,1646
20313,935
56388,14503
158799,580
171568,2079
118514,846
166053,4838
135302,1048
65814,1867
151570,903
25242,6600
62234,5602
134970,3704
158995,1114
111669,1828
80034,15110
165863,5292
806,2463
180250,3041
59446,1043
120399,910
26598,3941
44930,2450
72092,1112
83348,6499
142062,2278
157385,1852
56818,3061
45584,12055
124204,7780
136162,2960
89802,7371
50470,1115
45634,1580
145985,2973
146235,5913
170090,2923
111287,17330
174824,1422
111564,1948
22472,1265
121717,1013
66135,1291
134472,576
97133,827
183166,1976
156402,806
32845,7148
157262,1402
100587,9709
121200,5670
83942,1675
142489,734
164925,924
173304,2346
24095,642
159039,631
191763,696
186083,2877
2911,3149
36589,810
133224,5094
78794,421
36039,1030
132464,4155
177895,1273
108888,452
146985,5501
6706,4172
104261,1279
110036,7257
49628,1629
84484,8629
12248,391
81155,554
147737,5199
171954,1806
142340,2753
49774,1024
163307,3218
124893,4611
89204,2099
69622,16811
97588,8820
58590,787
161813,2644
62194,11360
145927,10835
137346,6720
44670,7368
178951,2028
89252,558
128264,13369
28059,4299
123827,2353
105709,1107
143293,4387
152894,1577
158792,5266
126856,6662
163102,9385
31840,5028
117106,11062
8501,17535
28721,1088
175560,9611
102999,981
164572,576
148902,7662
102848,3882
69722,5189
25140,4989
44687,596
176994,803
98583,6492
13712,3312
3434,900
176263,1417
142004,1741
40675,1013
95668,12336
70728,533
154751,1857
99105,2553
34569,1041
101022,4844
84805,9804
1056,8232
53736,730
77677,18114
35274,1453
172436,6664
35725,1020
153770,603
57950,1746
176065,1613
164932,2353
67775,413
134039,1214
48362,5864
146619,1410
152136,15330
127946,899
16397,10934
153998,2415
157537,11463
32772,6025
32829,2262
2946,15092
82880,8681
54992,2733
37931,4452
99810,488
114530,1613
14774,15613
67587,662
142946,2313
34796,1076
36661,1181
60009,468
51816,6774
80961,6830
85347,911
13762,595
146734,1951
152017,596
170442,12295
14049,1024
158055,7477
17163,1692
139885,432
158065,1016
67513,675
80029,3664
47168,2110
137338,1764
21966,3140
172602,1306
148161,3172
175252,1223
19484,994
66447,4603
101903,863
43589,16128
189423,8587
170566,3303
101841,1291
73875,4523
77381,863
88872,1046
135474,880
177365,2728
65302,2219
14408,1163
175097,8025
29628,6763
61002,7637
44534,1061
37588,552
177415,1286
123866,1857
57598,7190
14762,484
108419,7817
21970,3589
41593,462
132069,12968
188166,5107
58213,2577
40423,2232
169894,4036
188942,2824
183616,1265
180226,3161
81415,2208
32216,781
146599,1051
106467,4324
31902,1629
177750,15025
64678,1577
15849,571
27986,1247
162132,708
484,1249
34425,709
155997,337
145896,776
23812,11816
132003,7666
65582,1696
114703,5559
150606,2297
45146,7976
77076,2101
180867,12607
69879,599
24334,9069
25941,630
48049,1316
53818,1577
124319,3377
137514,730
188941,4956
53367,367
45483,13140
187870,9881
147614,1127
65870,3504
93223,6044
9332,1030
159607,3885
173815,783
7218,4587
43706,665
135567,2079
145464,608
133577,7996
61761,9658
189043,5260
109943,449
67746,1048
146534,4455
592,1326
98338,3942
134387,1107
106552,7911
43877,4611
124767,527
63611,11566
58909,1981
166545,799
66676,2635
125860,828
189601,4691
52114,2093
180995,783
184425,15137
79531,1017
95047,452
94630,1245
57663,7063
130421,684
114888,367
56014,956
120435,630
39704,1100
95755,5158
180678,2845
38534,11217
175821,8275
62383,907
107926,844
83909,589
138267,755
76683,6653
82903,2352
108696,648
43320,7877
102551,2193
97538,1161
101289,3372
43756,1452
41326,6840
108783,4956
12903,4616
62701,719
86954,5390
154377,6146
70006,2564
136721,7310
131450,1860
119197,912
25918,2557
69552,2106
99077,1332
3404,8201
121180,4632
6981,1636
